August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,1706,NA
NA,73,NA,NA,NA,NA,NA,70,NA,2366,NA,NA,NA,NA,NA,1445
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,85,NA
NA,146,116,242,NA,130,NA,NA,NA,1834,1948,1496,NA,1369,NA,NA
NA,73,NA,NA,124,NA,170,106,NA,2529,NA,NA,2116,NA,1854,1686
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,1388
NA,NA,77,NA,249,NA,204,106,NA,NA,2997,NA,3202,NA,2767,2213
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,3319
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,4426
NA,NA,NA,242,NA,NA,NA,NA,NA,NA,NA,3109,NA,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,4382,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,177,3608,NA,NA,NA,NA,NA,NA,1967
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,1517
NA,NA,NA,80,NA,NA,68,NA,NA,NA,NA,1224,NA,NA,1706,NA
75,NA,116,202,NA,NA,102,NA,757,NA,506,1129,NA,NA,1125,NA
NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,9607,NA,NA,NA
NA,110,NA,161,NA,NA,NA,106,NA,4585,NA,5052,NA,NA,NA,5058
113,NA,NA,NA,NA,NA,NA,NA,6685,NA,NA,NA,NA,NA,NA,NA
75,NA,77,NA,NA,NA,NA,141,5051,NA,4584,NA,NA,NA,NA,6437
NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,3330,NA,NA,NA
NA,110,NA,80,NA,130,NA,NA,NA,1209,NA,1370,NA,1941,NA,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,4102,NA,NA,NA,NA,NA
NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA
NA,NA,NA,161,NA,NA,341,177,NA,NA,NA,3514,NA,NA,4432,3052
NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,3109,NA,NA,NA,NA
NA,NA,NA,121,NA,86,NA,106,NA,NA,NA,2020,NA,1421,NA,1634
NA,NA,77,NA,NA,130,NA,NA,NA,NA,1855,NA,NA,2502,NA,NA
NA,NA,77,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA
NA,73,NA,NA,83,NA,136,70,NA,2223,NA,NA,1601,NA,1772,1863
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,919
NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,2353,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,2622
NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,940
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,2145
75,NA,NA,NA,166,NA,68,NA,3157,NA,NA,NA,3784,NA,3102,NA
NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,17064,NA
NA,73,NA,NA,NA,NA,NA,NA,NA,10481,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,14456,NA,NA
NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,6672,NA,NA
NA,73,NA,NA,208,130,68,141,NA,10481,NA,NA,20816,14456,17064,15736
NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,9751,NA
NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,11802
NA,NA,NA,202,83,NA,68,NA,NA,NA,NA,11887,20816,NA,17064,NA
